epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,60019.1,1.60551,2.84918,1.3705,1.57985,0.746,0.71387,0.75553,0.39017,0.73545,0.70125,0.73701,0.34365,1.87985,2.9409,1.31679,1.80015,0.000495062,0.000495062,0.000495062
30,61937.2,1.58671,2.83924,1.34251,1.55131,0.75362,0.69813,0.75261,0.39887,0.73026,0.72556,0.74907,0.34838,1.85579,2.93368,1.31364,1.76527,0.000473064,0.000473064,0.000473064
31,63990.8,1.57476,2.82817,1.34513,1.55473,0.69276,0.71673,0.75203,0.39807,0.67421,0.71481,0.7339,0.34295,1.85799,2.96125,1.32888,1.79197,0.000451066,0.000451066,0.000451066
32,66548.6,1.55988,2.79575,1.30673,1.55178,0.74499,0.76686,0.77389,0.41264,0.73765,0.75423,0.76409,0.37394,1.84314,2.85314,1.28045,1.76456,0.000429068,0.000429068,0.000429068
33,69240.5,1.58238,2.80415,1.33837,1.55344,0.77078,0.74871,0.78146,0.41751,0.75883,0.73611,0.76393,0.36521,1.82927,2.88539,1.28248,1.74639,0.00040707,0.00040707,0.00040707
34,71190.3,1.55449,2.81092,1.31126,1.54467,0.77073,0.7435,0.78425,0.41578,0.74761,0.71992,0.76041,0.36353,1.85411,2.90768,1.26552,1.7692,0.000385073,0.000385073,0.000385073
35,73124.7,1.54277,2.78122,1.28402,1.54085,0.75038,0.76116,0.77687,0.41139,0.74013,0.73672,0.75312,0.35482,1.87331,2.93723,1.30613,1.80845,0.000363075,0.000363075,0.000363075
36,75065.5,1.56818,2.78087,1.28239,1.53606,0.76367,0.73379,0.75979,0.4047,0.75372,0.72777,0.75661,0.36032,1.85124,2.91541,1.29374,1.77139,0.000341077,0.000341077,0.000341077
37,77099,1.54336,2.73497,1.27171,1.5245,0.78198,0.75198,0.77828,0.40526,0.75012,0.73348,0.7584,0.3539,1.87071,2.93087,1.23398,1.80761,0.000319079,0.000319079,0.000319079
38,79389.2,1.53911,2.73801,1.25318,1.51238,0.77466,0.7374,0.77455,0.40465,0.75926,0.72241,0.75316,0.36023,1.88468,2.9423,1.29775,1.76925,0.000297081,0.000297081,0.000297081
39,81751.3,1.5245,2.74369,1.24085,1.51953,0.76746,0.7481,0.77171,0.4137,0.76575,0.74148,0.76832,0.3686,1.83808,2.90198,1.27293,1.76651,0.000275084,0.000275084,0.000275084
40,84412.5,1.50672,2.71335,1.22787,1.50397,0.79816,0.74856,0.78462,0.42041,0.78423,0.74534,0.77541,0.36824,1.84655,2.87903,1.27252,1.74373,0.000253086,0.000253086,0.000253086
41,87038.2,1.59061,2.73894,1.10812,1.613,0.79614,0.72864,0.77647,0.41942,0.79815,0.72744,0.7786,0.37627,1.83443,2.86961,1.26256,1.75346,0.000231088,0.000231088,0.000231088
42,89543.2,1.56344,2.69722,1.06121,1.59641,0.76994,0.75776,0.77802,0.42792,0.76526,0.74776,0.76628,0.3704,1.82203,2.90794,1.24356,1.74804,0.00020909,0.00020909,0.00020909
43,91412.2,1.55193,2.6851,1.0492,1.59648,0.74949,0.73579,0.77137,0.41466,0.73881,0.74029,0.77173,0.3674,1.84806,2.89574,1.25452,1.77039,0.000187092,0.000187092,0.000187092
44,93284,1.52594,2.67257,1.02011,1.57427,0.75893,0.75154,0.78234,0.41978,0.75164,0.74893,0.77876,0.38143,1.82818,2.87025,1.24084,1.76339,0.000165095,0.000165095,0.000165095
45,95169.6,1.50629,2.64221,1.01511,1.56927,0.80357,0.71463,0.7682,0.41621,0.79767,0.70566,0.7652,0.37336,1.83199,2.90897,1.24881,1.7696,0.000143097,0.000143097,0.000143097
46,97052.4,1.51552,2.65169,1.00804,1.5715,0.77988,0.74775,0.7878,0.4209,0.76222,0.73112,0.77613,0.37266,1.83847,2.90967,1.23814,1.7733,0.000121099,0.000121099,0.000121099
47,98938.3,1.49249,2.63992,0.99838,1.54967,0.77667,0.73245,0.78272,0.41861,0.762,0.72355,0.76827,0.37317,1.85384,2.88802,1.22145,1.78773,9.91012e-05,9.91012e-05,9.91012e-05
48,100827,1.48902,2.63668,1.0043,1.55503,0.75872,0.76281,0.78805,0.42221,0.74888,0.75312,0.77826,0.3783,1.83546,2.8927,1.20879,1.77831,7.71034e-05,7.71034e-05,7.71034e-05
49,102731,1.47518,2.61128,0.97918,1.54583,0.74566,0.74271,0.77063,0.42039,0.75381,0.73895,0.76942,0.37481,1.85047,2.89632,1.23136,1.78423,5.51056e-05,5.51056e-05,5.51056e-05
50,104616,1.46182,2.58592,0.96542,1.52498,0.76941,0.74623,0.77567,0.42179,0.75785,0.75219,0.76903,0.37269,1.84771,2.90069,1.21649,1.78472,3.31078e-05,3.31078e-05,3.31078e-05
