Skin types;Products;Product name;Image path;Product link
Oily skin;Face mask;Innisfree Super Volcanic Pore Clay Mask 2X;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Innisfree Super Volcanic Pore Clay Mask 2X.png;https://www.innisfree.vn/product/sieu-mat-na-dat-set-tro-nui-lua-giam-nhon,-thu-nho-lo-chan-long-innisfree-super-volcanic-pore-clay-mask-100ml/detail/43?srsltid=AfmBOopw_4AMvD1ITr9dE-hRraXFyroK0ffgopVBF_VdbCUar50R6iBB
Oily skin;Face mask;Kiehl's Rare Earth Deep Pore Cleansing Masque;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Kiehl_s Rare Earth Deep Pore Cleansing Masque.png;https://www.kiehls.com.vn/vi_VN/mat-na-dat-set-rare-earth-deep-pore-cleansing-masque/792.html
Oily skin;Makeup remover;Garnier Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Garnier Micellar Water.png;
Oily skin;Makeup remover;Bioderma Sébium H2O;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Bioderma Sébium H2O.png;
Oily skin;Makeup remover;La Roche-Posay Micellar Water Ultra Oily Skin;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/La Roche-Posay Micellar Water Ultra Oily Skin.png;
Oily skin;Exfoliant;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/The Ordinary Glycolic Acid 7_.png;
Oily skin;Exfoliant;Cosrx BHA Blackhead Power Liquid;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Cosrx BHA Blackhead Power Liquid.png;
Oily skin;Exfoliant;Paula’s Choice 2% BHA Liquid Exfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Paula’s Choice 2_ BHA Liquid Exfoliant.png;
Oily skin;Moisturizer;Hada Labo Advanced Nourish Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Hada Labo Advanced Nourish Gel.png;
Oily skin;Moisturizer;Neutrogena Hydro Boost Water Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Neutrogena Hydro Boost Water Gel.png;
Oily skin;Moisturizer;Clinique Dramatically Different Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Clinique Dramatically Different Gel.png;
Dry skin;Cleanser;Hada Labo Gokujyun Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Hada Labo Gokujyun Cleanser.png;
Dry skin;Cleanser;Cetaphil Gentle Skin Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Cetaphil Gentle Skin Cleanser.png;
Dry skin;Cleanser;Fresh Soy Face Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Fresh Soy Face Cleanser.png;
Dry skin;Toner;Evoluderm Lotion Tonique;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Evoluderm Lotion Tonique.png;
Dry skin;Toner;Klairs Supple Preparation Toner;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Klairs Supple Preparation Toner.png;
Dry skin;Toner;Laneige Cream Skin Refiner;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Laneige Cream Skin Refiner.png;
Dry skin;Serum;The Ordinary Hyaluronic Acid + B5;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/The Ordinary Hyaluronic Acid + B5.png;
Dry skin;Serum;Timeless Hyaluronic Acid Serum;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/Timeless Hyaluronic Acid Serum.png;
Dry skin;Serum;Lancome Advanced Genifique;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/Lancome Advanced Genifique.png;
