Skin types;Products;Product name;Image path;Product link
;;Kiehl's Rare Earth Deep Pore Cleansing Masque;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Face_mask/Kiehl_s Rare Earth Deep Pore Cleansing Masque.png;https://www.kiehls.com.vn/vi_VN/mat-na-dat-set-rare-earth-deep-pore-cleansing-masque/792.html
;Makeup remover;Garnier Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Garnier Micellar Water.png;
;;Bioderma Sébium H2O;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/Bioderma Sébium H2O.png;
;;La Roche-Posay Micellar Water Ultra Oily Skin;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Makeup_remover/La Roche-Posay Micellar Water Ultra Oily Skin.png;
;Exxfoliant;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/The Ordinary Glycolic Acid 7_.png;
;;Cosrx BHA Blackhead Power Liquid;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Cosrx BHA Blackhead Power Liquid.png;
;;Paula’s Choice 2% BHA Liquid Exfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Exfoliant/Paula’s Choice 2_ BHA Liquid Exfoliant.png;
;Moisturizer;Hada Labo Advanced Nourish Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Hada Labo Advanced Nourish Gel.png;
;;Neutrogena Hydro Boost Water Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Neutrogena Hydro Boost Water Gel.png;
;;Clinique Dramatically Different Gel;/Users/apple/Downloads/AI term project/Skincare_products/Oily_skin/Moisturizer/Clinique Dramatically Different Gel.png;
Dry skin;Cleanser;Hada Labo Gokujyun Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Hada Labo Gokujyun Cleanser.png;
;;Cetaphil Gentle Skin Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Cetaphil Gentle Skin Cleanser.png;
;;Fresh Soy Face Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Cleanser/Fresh Soy Face Cleanser.png;
;Toner;Evoluderm Lotion Tonique;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Evoluderm Lotion Tonique.png;
;;Klairs Supple Preparation Toner;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Klairs Supple Preparation Toner.png;
;;Laneige Cream Skin Refiner;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Toner/Laneige Cream Skin Refiner.png;
;Serum;The Ordinary Hyaluronic Acid + B5;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/The Ordinary Hyaluronic Acid + B5.png;
;;Timeless Hyaluronic Acid Serum;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/Timeless Hyaluronic Acid Serum.png;
;;Lancome Advanced Genifique;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Serum/Lancome Advanced Genifique.png;
;Sunscreen;Skin Aqua Moisture Milk;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Skin Aqua Moisture Milk.png;
;;Biore UV Aqua Rich Essence;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Biore UV Aqua Rich Essence.png;
;;Vichy Ideal Soleil SPF50;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Sunscreen/Vichy Ideal Soleil SPF50.png;
;Face mask;Naruko Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Naruko Mask.png;
;;Kiehl’s Avocado Nourishing Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Kiehl’s Avocado Nourishing Mask.png;
;;Laneige Water Sleeping Mask;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Face_mask/Laneige Water Sleeping Mask.png;
;Makeup remover;Cocoon Winter Melon Cleansing Balm;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Cocoon Winter Melon Cleansing Balm.png;
;;Bioderma Hydrabio H2O;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Bioderma Hydrabio H2O.png;
;;Banila Co Clean It Zero;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Makeup_remover/Banila Co Clean It Zero.png;
;Exxfoliant;Cure Natural Aqua Gel;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Cure Natural Aqua Gel.png;
;;Cosrx AHA 7 Whitehead Power;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Cosrx AHA 7 Whitehead Power.png;
;;Dermalogica Daily Microfoliant;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Exfoliant/Dermalogica Daily Microfoliant.png;
;Moisturizer;Hada Labo Advanced Nourish Hyaluronic Acid Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Hada Labo Advanced Nourish Hyaluronic Acid Cream.png;
;;Cetaphil Moisturizing Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Cetaphil Moisturizing Cream.png;
;;Laneige Water Bank Cream;/Users/apple/Downloads/AI term project/Skincare_products/Dry_skin/Moisturizer/Laneige Water Bank Cream.png;
Combination skin;Cleanser;Naruko Tea Tree Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Naruko Tea Tree Cleanser.png;
;;Cosrx Low pH Gel;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Cosrx Low pH Gel.png;
;;Kiehl’s Calendula Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Cleanser/Kiehl’s Calendula Cleanser.png;
;Toner;Evoluderm Lotion Tonique;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/Evoluderm Lotion Tonique.png;
;;The Ordinary Glycolic Acid 7%;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/The Ordinary Glycolic Acid 7_.png;
;;Paula's Choice Pore-Reducing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Toner/Paula_s Choice Pore-Reducing Toner.png;
;Serum;The Ordinary Niacinamide 10% + Zinc;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/The Ordinary Niacinamide 10_ + Zinc.png;
;;L'Oreal Revitalift Hyaluronic Acid;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/L_Oreal Revitalift Hyaluronic Acid.png;
;;Skinceuticals Blemish + Age Defense;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Serum/Skinceuticals Blemish + Age Defense.png;
;Sunscreen;Biore UV Aqua Rich;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/Biore UV Aqua Rich.png;
;;Anessa Moisture UV;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/Anessa Moisture UV.png;
;;La Roche-Posay Anthelios UVMune;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Sunscreen/La Roche-Posay Anthelios UVMune.png;
;Face mask;Innisfree Clay Mask;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Innisfree Clay Mask.png;
;;Lush Mask of Magnaminty;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Lush Mask of Magnaminty.png;
;;Kiehl’s Rare Earth Deep Pore;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Face_mask/Kiehl’s Rare Earth Deep Pore.png;
;Makeup remover;Byphasse Micellar Water;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/Byphasse Micellar Water.png;
;;L’Oreal Micellar Water 3-in-1;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/L’Oreal Micellar Water 3-in-1.png;
;;Banila Co Clean It Zero;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Makeup_remover/Banila Co Clean It Zero.png;
;Exxfoliant;AHA-BHA-PHA Some By Mi Toner;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/AHA-BHA-PHA Some By Mi Toner.png;
;;Cosrx BHA Liquid;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/Cosrx BHA Liquid.png;
;;Paula's Choice 2% BHA;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Exfoliant/Paula_s Choice 2_ BHA.png;
;Moisturizer;Simple Water Boost Gel Cream;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Simple Water Boost Gel Cream.png;
;;Neutrogena Hydro Boost;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Neutrogena Hydro Boost.png;
;;Clinique Moisture Surge;/Users/apple/Downloads/AI term project/Skincare_products/Combination_skin/Moisturizer/Clinique Moisture Surge.png;
Sensitive skin;Cleanser;Cetaphil Gentle Skin Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Cetaphil Gentle Skin Cleanser.png;
;;Avene Cleanance Gel;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Avene Cleanance Gel.png;
;;Eucerin pH5 Cleanser;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Cleanser/Eucerin pH5 Cleanser.png;
;Toner;Simple Soothing Toner;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/Simple Soothing Toner.png;
;;Klairs Unscented Toner;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/Klairs Unscented Toner.png;
;;La Roche-Posay Thermal Spring Water;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Toner/La Roche-Posay Thermal Spring Water.jpg;
;Serum;Good Molecules Niacinamide;/Users/apple/Downloads/AI term project/Skincare_products/Sensitive_skin/Serum/Good Molecules Niacinamide.png;
