epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2296.56,1.93975,3.83442,3.31139,1.92244,0.57025,0.28955,0.32213,0.17193,0.57751,0.28994,0.30493,0.12924,2.16355,3.63624,3.46796,2.22519,0.000368353,0.000368353,0.000368353
2,4764.58,1.90706,3.42592,2.61492,1.8574,0.30644,0.31368,0.2724,0.10499,0.48723,0.27811,0.27778,0.09264,2.2557,3.5598,3.15827,2.41533,0.000731373,0.000731373,0.000731373
3,7068.18,1.92728,3.37038,2.36669,1.84504,0.38901,0.56648,0.4448,0.21311,0.41665,0.49638,0.43755,0.18203,2.09494,3.77953,3.31996,2.13628,0.00108706,0.00108706,0.00108706
4,11906.4,1.90351,3.32729,2.22933,1.7961,0.5245,0.5057,0.49251,0.25311,0.53021,0.48578,0.48726,0.2069,2.0551,3.31603,2.30541,2.06315,0.001078,0.001078,0.001078
5,14427.6,1.84234,3.26123,2.08136,1.78495,0.65241,0.56888,0.59847,0.28337,0.64158,0.54795,0.58543,0.2485,2.02253,3.20545,1.86706,2.00297,0.001067,0.001067,0.001067
6,19372.2,1.84828,3.25028,2.00189,1.76123,0.45977,0.46477,0.44715,0.23268,0.43608,0.43585,0.39958,0.16195,2.13044,3.54334,2.4863,2.21027,0.00105601,0.00105601,0.00105601
7,23343,1.81745,3.19812,1.96289,1.76769,0.63774,0.56402,0.59983,0.2962,0.60218,0.53603,0.56892,0.23398,1.99997,3.26918,1.77569,1.99121,0.00104501,0.00104501,0.00104501
